"No.","Time","Source","Destination","Protocol","Length","Info"
"549","0.958341","192.168.86.162","35.186.224.46","TCP","66","[TCP Window Update] 56136  >  443 [ACK] Seq=518 Ack=3392 Win=131072 Len=0 TSval=1861186465 TSecr=2696658380"
"552","0.962912","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [FIN, ACK] Seq=518 Ack=4236 Win=131072 Len=0 TSval=4029457892 TSecr=3675486291"
"558","0.976186","192.168.86.162","192.225.158.2","TCP","78","56146  >  3478 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2782124543 TSecr=0 SACK_PERM"
"564","0.985496","192.168.86.162","192.168.86.47","TCP","78","56147  >  49153 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=104033093 TSecr=0 SACK_PERM"
"571","1.004983","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=3590 Ack=1544 Win=31872 Len=0 TSval=1112172688 TSecr=277353386"
"574","1.004984","13.64.180.106","192.168.86.162","TCP","66","443  >  56144 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=1 SACK_PERM"
"579","1.004986","162.125.40.1","192.168.86.162","TCP","66","443  >  56138 [ACK] Seq=1 Ack=181 Win=65536 Len=0 TSval=724434392 TSecr=2625282191"
"581","1.004987","35.186.224.46","192.168.86.162","TCP","1466","[TCP Spurious Retransmission] 443  >  56136 [ACK] Seq=1 Ack=518 Win=66816 Len=1400 TSval=2696658482 TSecr=1861186379"
"589","1.004990","162.125.40.1","192.168.86.162","TCP","800","443  >  56138 [PSH, ACK] Seq=2897 Ack=181 Win=65536 Len=734 TSval=724434393 TSecr=2625282191"
"591","1.004992","162.125.40.1","192.168.86.162","TCP","1514","[TCP Out-Of-Order] 443  >  56138 [ACK] Seq=1 Ack=181 Win=65536 Len=1448 TSval=724434393 TSecr=2625282191"
"594","1.005081","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=1544 Ack=3655 Win=130944 Len=0 TSval=277353579 TSecr=1112172688"
"595","1.005129","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"596","1.005180","192.168.86.162","162.125.40.1","TCP","78","[TCP Dup ACK 355#1] 56138  >  443 [ACK] Seq=181 Ack=1 Win=131328 Len=0 TSval=2625282336 TSecr=724434392 SLE=1449 SRE=3631"
"597","1.005192","192.168.86.162","162.125.40.1","TCP","66","56138  >  443 [ACK] Seq=181 Ack=3631 Win=127744 Len=0 TSval=2625282336 TSecr=724434393"
"598","1.005204","192.168.86.162","35.186.224.46","TCP","78","[TCP Dup ACK 533#1] 56136  >  443 [ACK] Seq=1333 Ack=3392 Win=131072 Len=0 TSval=1861186511 TSecr=2696658380 SLE=1 SRE=1401"
"612","1.015253","192.168.86.162","162.125.40.1","TCP","66","[TCP Window Update] 56138  >  443 [ACK] Seq=181 Ack=3631 Win=131072 Len=0 TSval=2625282346 TSecr=724434393"
"628","1.053678","192.168.86.47","192.168.86.162","TCP","78","49153  >  56147 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=32 TSval=1305086446 TSecr=104033093 SACK_PERM"
"629","1.053762","192.168.86.162","192.168.86.47","TCP","66","56147  >  49153 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=104033161 TSecr=1305086446"
"630","1.054360","192.168.86.162","192.168.86.47","TCP","117","56147  >  49153 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=51 TSval=104033161 TSecr=1305086446"
"633","1.067465","192.168.86.47","192.168.86.162","TCP","66","49153  >  56147 [ACK] Seq=1 Ack=52 Win=131712 Len=0 TSval=1305086498 TSecr=104033161"
"634","1.070048","192.168.86.47","192.168.86.162","TCP","201","49153  >  56147 [PSH, ACK] Seq=1 Ack=52 Win=131712 Len=135 TSval=1305086505 TSecr=104033161"
"635","1.070119","192.168.86.162","192.168.86.47","TCP","66","56147  >  49153 [ACK] Seq=52 Ack=136 Win=131584 Len=0 TSval=104033177 TSecr=1305086505"
"636","1.072854","192.168.86.162","192.168.86.47","TCP","164","56147  >  49153 [PSH, ACK] Seq=52 Ack=136 Win=131584 Len=98 TSval=104033180 TSecr=1305086505"
"639","1.084034","192.168.86.47","192.168.86.162","TCP","66","49153  >  56147 [ACK] Seq=136 Ack=150 Win=131616 Len=0 TSval=1305086513 TSecr=104033180"
"641","1.084035","8.8.4.4","192.168.86.162","TCP","66","853  >  56132 [FIN, ACK] Seq=4236 Ack=519 Win=268800 Len=0 TSval=3675486458 TSecr=4029457892"
"642","1.084035","35.186.224.46","192.168.86.162","TCP","66","443  >  56136 [ACK] Seq=3392 Ack=1333 Win=69632 Len=0 TSval=2696658547 TSecr=1861186471"
"646","1.084036","35.186.224.24","192.168.86.162","TCP","78","[TCP Dup ACK 498#1] 443  >  56143 [ACK] Seq=1 Ack=1 Win=268800 Len=0 TSval=1713519293 TSecr=4284746357 SLE=1401 SRE=2056"
"647","1.084037","35.186.224.24","192.168.86.162","TCP","66","443  >  56143 [ACK] Seq=1 Ack=2056 Win=266752 Len=0 TSval=1713519293 TSecr=4284746357"
"654","1.084039","8.8.8.8","192.168.86.162","TCP","66","853  >  56140 [ACK] Seq=4236 Ack=607 Win=268800 Len=0 TSval=2658867055 TSecr=937328281"
"655","1.084039","8.8.8.8","192.168.86.162","TCP","66","853  >  56140 [FIN, ACK] Seq=4236 Ack=607 Win=268800 Len=0 TSval=2658867055 TSecr=937328281"
"658","1.084040","192.225.158.2","192.168.86.162","TCP","74","3478  >  56146 [SYN, ACK] Seq=0 Ack=1 Win=15928 Len=0 MSS=1460 SACK_PERM TSval=2500207848 TSecr=2782124543 WS=512"
"659","1.084040","8.8.8.8","192.168.86.162","TCP","74","[TCP Retransmission] 443  >  56141 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2247890783 TSecr=2699599865 WS=256"
"663","1.084145","192.168.86.162","35.186.224.24","TCP","1466","[TCP Spurious Retransmission] 56143  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=4284746484 TSecr=1713519293"
"664","1.084301","192.168.86.162","35.186.224.24","TCP","66","56143  >  443 [ACK] Seq=2056 Ack=213 Win=131328 Len=0 TSval=4284746484 TSecr=1713519301"
"665","1.084306","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=1333 Ack=4625 Win=129792 Len=0 TSval=1861186590 TSecr=2696658604"
"666","1.084337","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [ACK] Seq=519 Ack=4237 Win=131072 Len=0 TSval=4029458014 TSecr=3675486458"
"667","1.084379","192.168.86.162","8.8.8.8","TCP","66","56140  >  853 [ACK] Seq=607 Ack=4237 Win=131072 Len=0 TSval=937328403 TSecr=2658867055"
"668","1.084402","192.168.86.162","192.225.158.2","TCP","66","56146  >  3478 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2782124651 TSecr=2500207848"
"688","1.086923","192.168.86.162","37.16.4.196","TCP","78","56148  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1349090071 TSecr=0 SACK_PERM"
"693","1.092964","192.168.86.162","35.186.224.24","TCP","66","56139  >  443 [ACK] Seq=2184 Ack=831 Win=130752 Len=0 TSval=3595727409 TSecr=3137004785"
"694","1.102457","192.168.86.47","192.168.86.162","TCP","79","49153  >  56147 [PSH, ACK] Seq=136 Ack=150 Win=131616 Len=13 TSval=1305086532 TSecr=104033180"
"695","1.102533","192.168.86.162","192.168.86.47","TCP","66","56147  >  49153 [ACK] Seq=150 Ack=149 Win=131584 Len=0 TSval=104033210 TSecr=1305086532"
"696","1.103117","192.168.86.162","192.168.86.47","TCP","1514","56147  >  49153 [ACK] Seq=150 Ack=149 Win=131584 Len=1448 TSval=104033210 TSecr=1305086532"
"697","1.103118","192.168.86.162","192.168.86.47","TCP","1514","56147  >  49153 [ACK] Seq=1598 Ack=149 Win=131584 Len=1448 TSval=104033210 TSecr=1305086532"
"698","1.103132","192.168.86.162","192.168.86.47","TCP","934","56147  >  49153 [PSH, ACK] Seq=3046 Ack=149 Win=131584 Len=868 TSval=104033210 TSecr=1305086532"
"702","1.105372","8.8.4.4","192.168.86.162","TCP","680","[TCP Retransmission] 443  >  56133 [FIN, PSH, ACK] Seq=4244 Ack=607 Win=268800 Len=614 TSval=2868266939 TSecr=964211706"
"712","1.114068","192.168.86.47","192.168.86.162","TCP","66","49153  >  56147 [ACK] Seq=149 Ack=3914 Win=127840 Len=0 TSval=1305086549 TSecr=104033210"
"713","1.116616","192.168.86.47","192.168.86.162","TCP","66","[TCP Window Update] 49153  >  56147 [ACK] Seq=149 Ack=3914 Win=131072 Len=0 TSval=1305086549 TSecr=104033210"
"716","1.138669","17.57.144.121","192.168.86.162","TCP","66","5223  >  49593 [FIN, ACK] Seq=25 Ack=1 Win=8004 Len=0 TSval=4083460090 TSecr=3948423322"
"724","1.138675","13.64.180.106","192.168.86.162","TCP","1514","[TCP Previous segment not captured] 443  >  56144 [PSH, ACK] Seq=1461 Ack=185 Win=8008 Len=1460"
"730","1.138681","13.64.180.106","192.168.86.162","TCP","1514","[TCP Out-Of-Order] 443  >  56144 [PSH, ACK] Seq=1 Ack=185 Win=8008 Len=1460"
"733","1.138683","13.64.180.106","192.168.86.162","TCP","1514","443  >  56144 [PSH, ACK] Seq=4381 Ack=185 Win=8008 Len=1460"
"738","1.138823","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=2117 Ack=3873 Win=130816 Len=0 TSval=277353713 TSecr=1112172904"
"739","1.138964","192.168.86.162","13.64.180.106","TCP","66","[TCP Dup ACK 595#1] 56144  >  443 [ACK] Seq=185 Ack=1 Win=262144 Len=0 SLE=1461 SRE=4381"
"740","1.138993","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=185 Ack=4381 Win=257728 Len=0"
"741","1.139015","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=185 Ack=5841 Win=256256 Len=0"
"742","1.139100","192.168.86.162","13.64.180.106","TCP","54","[TCP Window Update] 56144  >  443 [ACK] Seq=185 Ack=5841 Win=262144 Len=0"
"749","1.140508","192.168.86.162","104.154.127.247","TCP","78","56149  >  4070 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2267297288 TSecr=0 SACK_PERM"
"754","1.149747","35.186.224.24","192.168.86.162","TCP","78","443  >  56143 [ACK] Seq=213 Ack=2120 Win=266752 Len=0 TSval=1713519408 TSecr=4284746484 SLE=1 SRE=1401"
"760","1.149750","37.16.4.196","192.168.86.162","TCP","74","443  >  56148 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1180 SACK_PERM TSval=1091579968 TSecr=1349090071 WS=2048"
"764","1.149752","35.186.224.46","192.168.86.162","TCP","66","443  >  56136 [ACK] Seq=4625 Ack=1365 Win=69632 Len=0 TSval=2696658673 TSecr=1861186596"
"765","1.149752","192.225.158.2","192.168.86.162","TCP","66","3478  >  56146 [ACK] Seq=1 Ack=29 Win=16384 Len=0 TSval=2500207947 TSecr=2782124653"
"766","1.149752","192.225.158.2","192.168.86.162","TCP","66","[TCP Dup ACK 765#1] 3478  >  56146 [ACK] Seq=1 Ack=29 Win=16384 Len=0 TSval=2500207947 TSecr=2782124653"
"782","1.164519","162.125.40.1","192.168.86.162","TCP","66","443  >  56138 [ACK] Seq=3631 Ack=256 Win=65536 Len=0 TSval=724434623 TSecr=2625282364"
"807","1.196224","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=2346 Ack=3963 Win=130944 Len=0 TSval=277353770 TSecr=1112172995"
"808","1.196239","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=2346 Ack=4027 Win=130880 Len=0 TSval=277353770 TSecr=1112173002"
"809","1.196249","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=1365 Ack=4653 Win=131008 Len=0 TSval=1861186702 TSecr=2696658717"
"810","1.196281","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=185 Ack=5942 Win=262016 Len=0"
"820","1.204359","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=2346 Ack=4027 Win=131072 Len=1448 TSval=277353779 TSecr=1112173002 [TCP PDU reassembled in 825]"
"821","1.204361","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=3794 Ack=4027 Win=131072 Len=1448 TSval=277353779 TSecr=1112173002 [TCP PDU reassembled in 825]"
"822","1.204362","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=5242 Ack=4027 Win=131072 Len=1448 TSval=277353779 TSecr=1112173002 [TCP PDU reassembled in 825]"
"823","1.204364","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=6690 Ack=4027 Win=131072 Len=1448 TSval=277353779 TSecr=1112173002 [TCP PDU reassembled in 825]"
"824","1.204365","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=8138 Ack=4027 Win=131072 Len=1448 TSval=277353779 TSecr=1112173002 [TCP PDU reassembled in 825]"
"831","1.209327","192.168.86.47","192.168.86.162","TCP","1514","49153  >  56147 [ACK] Seq=149 Ack=3914 Win=131072 Len=1448 TSval=1305086638 TSecr=104033210"
"838","1.209330","192.168.86.47","192.168.86.162","TCP","1514","49153  >  56147 [ACK] Seq=1597 Ack=3914 Win=131072 Len=1448 TSval=1305086638 TSecr=104033210"
"839","1.209331","192.168.86.47","192.168.86.162","TCP","1514","49153  >  56147 [ACK] Seq=3045 Ack=3914 Win=131072 Len=1448 TSval=1305086638 TSecr=104033210"
"840","1.209332","192.168.86.47","192.168.86.162","TCP","1514","49153  >  56147 [ACK] Seq=4493 Ack=3914 Win=131072 Len=1448 TSval=1305086638 TSecr=104033210"
"841","1.209333","192.168.86.47","192.168.86.162","TCP","978","49153  >  56147 [PSH, ACK] Seq=5941 Ack=3914 Win=131072 Len=912 TSval=1305086638 TSecr=104033210"
"855","1.235953","192.168.86.162","35.186.224.46","TCP","78","56150  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2427781223 TSecr=0 SACK_PERM"
"864","1.257500","fe80::14b6:ff83:a412:ebee","fe80::1cc1:4cef:1e0a:8c4f","TCP","86","49153  >  49591 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=3891312659 TSecr=1310734468"
"866","1.257500","192.168.86.47","192.168.86.162","TCP","201","49153  >  56147 [PSH, ACK] Seq=6853 Ack=3914 Win=131072 Len=135 TSval=1305086658 TSecr=104033210"
"870","1.257864","192.168.86.162","192.168.86.47","TCP","66","56147  >  49153 [ACK] Seq=3914 Ack=6853 Win=124864 Len=0 TSval=104033317 TSecr=1305086638"
"871","1.257883","192.168.86.162","192.168.86.47","TCP","66","[TCP Window Update] 56147  >  49153 [ACK] Seq=3914 Ack=6853 Win=131072 Len=0 TSval=104033320 TSecr=1305086638"
"872","1.257888","192.168.86.162","192.168.86.47","TCP","66","56147  >  49153 [ACK] Seq=3914 Ack=6988 Win=130880 Len=0 TSval=104033365 TSecr=1305086658"
"887","1.357361","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1091580062 TSecr=1349090134"
"891","1.357363","17.57.144.121","192.168.86.162","TCP","66","[TCP Retransmission] 5223  >  49593 [FIN, ACK] Seq=25 Ack=1 Win=8004 Len=0 TSval=4083460216 TSecr=3948423322"
"892","1.357363","162.125.40.1","192.168.86.162","TCP","66","443  >  56138 [ACK] Seq=3631 Ack=307 Win=65536 Len=0 TSval=724434711 TSecr=2625282496"
"898","1.357365","104.154.127.247","192.168.86.162","TCP","74","4070  >  56149 [SYN, ACK] Seq=0 Ack=1 Win=21120 Len=0 MSS=1420 SACK_PERM TSval=3090622504 TSecr=2267297288 WS=4096"
"901","1.357366","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 803#1] 5223  >  56137 [ACK] Seq=4027 Ack=2346 Win=31872 Len=0 TSval=1112173064 TSecr=277353770 SLE=5242 SRE=6690"
"902","1.357367","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 803#2] 5223  >  56137 [ACK] Seq=4027 Ack=2346 Win=31872 Len=0 TSval=1112173064 TSecr=277353770 SLE=5242 SRE=9586"
"903","1.357367","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 803#3] 5223  >  56137 [ACK] Seq=4027 Ack=2346 Win=31872 Len=0 TSval=1112173075 TSecr=277353770 SLE=5242 SRE=10350"
"904","1.357367","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 803#4] 5223  >  56137 [ACK] Seq=4027 Ack=2346 Win=31872 Len=0 TSval=1112173075 TSecr=277353770 SLE=5242 SRE=11672"
"905","1.357367","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=181 Ack=518 Win=67584 Len=1168 TSval=1091580063 TSecr=1349090134 [TCP PDU reassembled in 919]"
"911","1.357580","192.168.86.162","37.16.4.196","TCP","78","[TCP Dup ACK 784#1] 56148  >  443 [ACK] Seq=518 Ack=1 Win=131968 Len=0 TSval=1349090342 TSecr=1091580062 SLE=128 SRE=1349"
"912","1.357581","192.168.86.162","162.125.40.1","TCP","66","56138  >  443 [ACK] Seq=307 Ack=3889 Win=130752 Len=0 TSval=2625282689 TSecr=724434711"
"913","1.357581","192.168.86.162","104.154.127.247","TCP","66","56149  >  4070 [ACK] Seq=1 Ack=1 Win=132352 Len=0 TSval=2267297506 TSecr=3090622504"
"914","1.357582","192.168.86.162","192.225.158.2","TCP","66","56146  >  3478 [ACK] Seq=177 Ack=149 Win=131584 Len=0 TSval=2782124925 TSecr=2500208043"
"915","1.357583","192.168.86.162","17.57.144.119","TCP","1514","[TCP Fast Retransmission] 56137  >  5223 [ACK] Seq=2346 Ack=4027 Win=131072 Len=1448 TSval=277353932 TSecr=1112173064"
"916","1.357584","192.168.86.162","17.57.144.119","TCP","1514","[TCP Fast Retransmission] 56137  >  5223 [ACK] Seq=3794 Ack=4027 Win=131072 Len=1448 TSval=277353932 TSecr=1112173064 [TCP PDU reassembled in 825]"
"917","1.357585","192.168.86.162","17.57.144.119","TCP","1514","[TCP Fast Retransmission] 56137  >  5223 [PSH, ACK] Seq=10334 Ack=4027 Win=131072 Len=1448 TSval=277353932 TSecr=1112173064 [TCP PDU reassembled in 825], Application Data, Application Data, Application Data"
"923","1.358177","37.16.4.196","192.168.86.162","TCP","193","[TCP Out-Of-Order] 443  >  56148 [PSH, ACK] Seq=1 Ack=518 Win=67584 Len=127 TSval=1091580063 TSecr=1349090134"
"929","1.358179","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 803#5] 5223  >  56137 [ACK] Seq=4027 Ack=2346 Win=31872 Len=0 TSval=1112173079 TSecr=277353770 SLE=5242 SRE=11782"
"931","1.358180","192.168.86.47","192.168.86.162","TCP","1514","[TCP Spurious Retransmission] 49153  >  56147 [PSH, ACK] Seq=5540 Ack=3914 Win=131072 Len=1448 TSval=1305086745 TSecr=104033210"
"938","1.358239","192.168.86.162","37.16.4.196","TCP","78","[TCP Dup ACK 784#2] 56148  >  443 [ACK] Seq=518 Ack=1 Win=131968 Len=0 TSval=1349090342 TSecr=1091580062 SLE=128 SRE=2380"
"940","1.358261","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=518 Ack=2380 Win=129600 Len=0 TSval=1349090342 TSecr=1091580063"
"941","1.358275","192.168.86.162","192.168.86.47","TCP","78","[TCP Dup ACK 872#1] 56147  >  49153 [ACK] Seq=3914 Ack=6988 Win=131072 Len=0 TSval=104033465 TSecr=1305086745 SLE=5540 SRE=6988"
"947","1.362464","192.168.86.162","104.154.127.247","TCP","297","56149  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=132352 Len=231 TSval=2267297511 TSecr=3090622504"
"949","1.362638","192.168.86.162","162.125.40.1","TCP","1494","56138  >  443 [ACK] Seq=1788 Ack=3889 Win=131072 Len=1428 TSval=2625282694 TSecr=724434711 [TCP PDU reassembled in 951]"
"950","1.362639","192.168.86.162","162.125.40.1","TCP","1494","56138  >  443 [ACK] Seq=3216 Ack=3889 Win=131072 Len=1428 TSval=2625282694 TSecr=724434711 [TCP PDU reassembled in 951]"
"953","1.371531","192.168.86.162","37.16.4.196","TCP","1234","56148  >  443 [ACK] Seq=582 Ack=2380 Win=131072 Len=1168 TSval=1349090355 TSecr=1091580063 [TCP PDU reassembled in 954]"
"958","1.416108","192.168.86.162","157.240.11.54","TCP","372","[TCP Retransmission] 54822  >  443 [PSH, ACK] Seq=129 Ack=1135 Win=2048 Len=306 TSval=523980313 TSecr=3246780077"
"967","1.535821","192.168.86.162","37.16.4.196","TCP","1234","[TCP Retransmission] 56148  >  443 [PSH, ACK] Seq=865 Ack=2380 Win=131072 Len=1168 TSval=1349090520 TSecr=1091580063 [TCP PDU reassembled in 954]"
"971","1.581746","192.168.86.172","192.168.86.162","TCP","1430","[TCP Retransmission] 8009  >  50803 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=1364 TSval=2311859937 TSecr=1947085131 [TCP PDU reassembled in 231]"
"972","1.581747","35.186.224.46","192.168.86.162","TCP","74","443  >  56150 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3622170860 TSecr=2427781223 WS=256"
"980","1.581750","17.57.144.119","192.168.86.162","TCP","78","5223  >  56137 [ACK] Seq=4027 Ack=3794 Win=31872 Len=0 TSval=1112173221 TSecr=277353932 SLE=5242 SRE=11782"
"981","1.581750","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=4027 Ack=11782 Win=31872 Len=0 TSval=1112173222 TSecr=277353932"
"983","1.581751","37.16.4.196","192.168.86.162","TCP","193","[TCP Spurious Retransmission] 443  >  56148 [PSH, ACK] Seq=1 Ack=518 Win=67584 Len=127 TSval=1091580251 TSecr=1349090342"
"984","1.581751","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=2380 Ack=1750 Win=69632 Len=0 TSval=1091580256 TSecr=1349090355"
"987","1.581752","157.240.11.54","192.168.86.162","TCP","78","[TCP Dup ACK 986#1] 443  >  54822 [ACK] Seq=1174 Ack=435 Win=894 Len=0 TSval=3246781125 TSecr=523980313 SLE=129 SRE=435"
"989","1.581753","162.125.40.1","192.168.86.162","TCP","66","443  >  56138 [ACK] Seq=3964 Ack=3216 Win=65536 Len=0 TSval=724434901 TSecr=2625282694"
"991","1.581753","192.168.86.30","192.168.86.162","TCP","414","[TCP Retransmission] 8009  >  50948 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=348 TSval=3963811154 TSecr=2223796380"
"994","1.581754","104.154.127.247","192.168.86.162","TCP","66","4070  >  56149 [ACK] Seq=1 Ack=232 Win=24576 Len=0 TSval=3090622731 TSecr=2267297511"
"995","1.581755","104.154.127.247","192.168.86.162","TCP","557","4070  >  56149 [PSH, ACK] Seq=1 Ack=232 Win=24576 Len=491 TSval=3090622731 TSecr=2267297511"
"997","1.581756","17.57.144.121","192.168.86.162","TCP","90","[TCP Retransmission] 5223  >  49593 [FIN, PSH, ACK] Seq=1 Ack=1 Win=8004 Len=24 TSval=4083460480 TSecr=3948423322"
"998","1.581756","fe80::14b6:ff83:a412:ebee","fe80::1cc1:4cef:1e0a:8c4f","TCP","86","[TCP Retransmission] 49153  >  49591 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=3891312960 TSecr=1310734468"
"999","1.581756","35.186.224.24","192.168.86.162","TCP","684","[TCP Retransmission] 443  >  56143 [PSH, ACK] Seq=213 Ack=2120 Win=266752 Len=618 TSval=1713519853 TSecr=4284746484"
"1003","1.581836","192.168.86.162","35.186.224.46","TCP","66","56150  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=2427781569 TSecr=3622170860"
"1004","1.581876","192.168.86.162","37.16.4.196","TCP","78","[TCP Dup ACK 940#1] 56148  >  443 [ACK] Seq=2033 Ack=2380 Win=131072 Len=0 TSval=1349090566 TSecr=1091580063 SLE=1 SRE=128"
"1005","1.581895","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2033 Ack=2483 Win=130944 Len=0 TSval=1349090566 TSecr=1091580256"
"1006","1.581919","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=11782 Ack=4220 Win=130816 Len=0 TSval=277354156 TSecr=1112173223"
"1007","1.581937","192.168.86.162","157.240.11.54","TCP","66","54822  >  443 [ACK] Seq=435 Ack=1174 Win=2047 Len=0 TSval=523980479 TSecr=3246781039"
"1008","1.581959","192.168.86.162","104.154.127.247","TCP","66","56149  >  4070 [ACK] Seq=232 Ack=492 Win=131840 Len=0 TSval=2267297730 TSecr=3090622731"
"1009","1.581973","192.168.86.162","162.125.40.1","TCP","66","56138  >  443 [ACK] Seq=5653 Ack=3964 Win=130944 Len=0 TSval=2625282913 TSecr=724434900"
"1010","1.581986","192.168.86.162","162.125.40.1","TCP","66","56138  >  443 [ACK] Seq=5653 Ack=4002 Win=130944 Len=0 TSval=2625282913 TSecr=724434901"
"1011","1.581997","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=1365 Ack=6053 Win=129664 Len=0 TSval=1861187088 TSecr=2696659004"
"1012","1.582012","192.168.86.162","35.186.224.24","TCP","78","56143  >  443 [ACK] Seq=2120 Ack=831 Win=131072 Len=0 TSval=4284746982 TSecr=1713519853 SLE=213 SRE=831"
"1013","1.582202","192.168.86.162","35.186.224.46","TCP","1466","56150  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=2427781569 TSecr=3622170860 [TCP PDU reassembled in 1014]"
"1019","1.582941","162.125.40.1","192.168.86.162","TCP","78","[TCP Dup ACK 989#1] 443  >  56138 [ACK] Seq=4002 Ack=3216 Win=65536 Len=0 TSval=724434905 TSecr=2625282694 SLE=4644 SRE=5653"
"1020","1.582942","162.125.40.1","192.168.86.162","TCP","66","443  >  56138 [ACK] Seq=4002 Ack=5653 Win=63488 Len=0 TSval=724434905 TSecr=2625282694"
"1022","1.582943","17.57.144.119","192.168.86.162","TCP","78","[TCP Dup ACK 981#1] 5223  >  56137 [ACK] Seq=4220 Ack=11782 Win=31872 Len=0 TSval=1112173226 TSecr=277353932 SLE=10334 SRE=11782"
"1023","1.582944","17.57.144.119","192.168.86.162","TCP","130","[TCP Spurious Retransmission] 5223  >  56137 [PSH, ACK] Seq=4156 Ack=11782 Win=31872 Len=64 TSval=1112173385 TSecr=277353932"
"1035","1.583053","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2033 Ack=3179 Win=130368 Len=0 TSval=1349090567 TSecr=1091580261"
"1036","1.583089","192.168.86.162","162.125.40.1","TCP","1494","[TCP Spurious Retransmission] 56138  >  443 [ACK] Seq=3216 Ack=4002 Win=130944 Len=1428 TSval=2625282914 TSecr=724434905 [TCP PDU reassembled in 951]"
"1037","1.583132","192.168.86.162","17.57.144.119","TCP","78","[TCP Dup ACK 1006#1] 56137  >  5223 [ACK] Seq=11782 Ack=4220 Win=131072 Len=0 TSval=277354157 TSecr=1112173385 SLE=4156 SRE=4220"
"1038","1.583155","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=1365 Ack=11232 Win=124480 Len=0 TSval=1861187089 TSecr=2696659015"
